"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
1,"acoustic","1EzrEOXmMH3G43AXT1y7pA","I'm Yours","4phGZZrJZRo4ElhRtViYdl","Jason Mraz","04G0YylSjvDQZrjOfE5jA5","We Sing. We Dance. We Steal Things.","2008-05-12"
1,"acoustic","1HMQmOWrkieKYWlFsjUP3D","Bloom - Bonus Track","79hrYiudVcFyyxyJW0ipTy","The Paper Kites","1lq6KMHFACcE6GQZysxnSZ","Woodland","2013-03-05"
1,"acoustic","5vjLSffimiIP26QG5WcN2K","Hold On","5D3muNJhYYunbRkh3FKgX0","Chord Overstreet","2EfmyRWheMtmVTCIsptsLi","Hold On","2017-02-03"
1,"acoustic","7jIAttgQTpLDoNtykIQXjH","Blister In The Sun","0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","0Ojio25IPzIrw1rUmgrhrG","Violent Femmes","1983-01-01"
1,"acoustic","53QF56cjZA9RTuuMZDrSA6","I Won't Give Up","4phGZZrJZRo4ElhRtViYdl","Jason Mraz","64SChsjQBiEe3aVTFYnW1b","Love Is a Four Letter Word (Deluxe Edition)","2012-04-13"
1,"acoustic","38YgZVHPWOWsKrsCXz6JyP","Come On Get Higher","4NGiEU3Pkd8ASRyQR30jcA","Matt Nathanson","45A2E1YR00sPSwxJw5d3qu","Some Mad Hope","2007-01-01"
1,"acoustic","4E6cwWJWZw2zWf7VFbH7wf","Love Song","2Sqr0DXoaYABbjBo9HaMkM","Sara Bareilles","2Z9WUERfMjOgQ6ze9TcGbF","Little Voice","2007-07-03"
1,"acoustic","6uHvbKL0Yi37AuvNRmUfMw","Paint","79hrYiudVcFyyxyJW0ipTy","The Paper Kites","5ERrBoi8CAlmG0pNLjLtsn","Young North","2013-03-05"
1,"acoustic","1jyddn36UN4tVsJGtaJfem","You Are the Best Thing","6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","2CbLBSlkvh2vR4JRLDRQso","Gossip In The Grain","2008-10-13"
1,"acoustic","0IktbUcnAGrvD03AWnz3Q8","Lucky","6aZyMrc4doVtZyKNilOmwu","Colbie Caillat","04G0YylSjvDQZrjOfE5jA5","We Sing. We Dance. We Steal Things.","2008-05-12"
2,"afrobeat","0WtM2NBVQNNJLh6scP13H8","Calm Down (with Selena Gomez)","0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","2b2GHWESCWEuHiCZ2Skedp","Calm Down (with Selena Gomez)","2022-08-25"
2,"afrobeat","26b3oVLrRUaaybJulow9kz","People","7kjSuFGKhLm8b5qXoMhRkJ","Libianca","5Hmh6N8oisrcuZKa8EY5dn","People","2022-12-06"
2,"afrobeat","2mzM4Y0Rnx2BDZqRnhQ5Q6","Free Mind","687cZJR45JO7jhk1LHIbgq","Tems","2sU8ByeYc5BOBFNDr58CGV","For Broken Ears","2020-09-25"
